tumor,signal,Signature_3_ml,Signature_3_c,Signature_3_l_rat,Signature_3_wl,rat_sig3,Signature_other_c4_ml,exp_sig3,total_snvs,Signature_3_c1_ml,Signature_3_c2_ml,Signature_3_c3_ml,Signature_3_c4_ml
01658141-8398-4585-9f0f-8355dd9b0604,0,3.86E-08,0.284670936,0,1.25E-28,0,1.23E-25,0,54,1.73E-25,0,3.86E-08,7.94E-26
110b5f05-ded7-45ec-b0f6-a941c92d77dd,1,0.500227564,0.42156928,0.467024269,0.950913087,0.266836785,0.041596615,4.002551775,15,0.097049863,0.010021368,0.304148288,0.089008045
15f90ef0-831b-40a3-98bd-ec226a9e8b26,1,0.5970612,0.356231266,0,0.002253239,0,0.085026259,0,15,0.131644847,0.245234765,0.001942298,0.218239291
2c6f1862-bb82-4e7e-9cb3-338bdf022ff4,0,0.016371173,0.191478268,0,1.74E-23,0,0.207578068,0,17,0.001777328,0.00605982,1.04E-05,0.008523657
3585e133-b3c1-4d90-b5f2-2b867e0ae0ec,0,0.193222464,0.204244518,0,0.004056959,0,0.160186551,0,8,0.046580437,0.074969463,0.003006731,0.068665833
36d1a85e-a09b-4537-86e0-eaf1eb03aed8,1,0.947163031,0.296233315,0.532085788,0.901146781,0.126920049,0.008581167,1.52304059,12,0.312536202,0.394992188,0.002331902,0.237302739
47312f61-5ef4-4f25-9320-8fbb4758790e,0,0.404296585,0.338473494,0,0.017256295,0,0.249670936,0,17,0.101563213,0.083103511,0.005974195,0.213655666
47b5d831-5287-4f62-b17a-6e5eff2e4184,0,0.096657708,0.224527032,0,5.74E-09,0,0.309295536,0,10,0.023442736,0.022963285,0.003692825,0.046558863
6e839eaf-1dbb-43f5-8846-c980e05540c7,1,0.893527602,0.380067899,0.530587431,0.998851457,0.567274105,0.012960507,8.509111578,15,0.212012515,0.489012605,0.002252648,0.190249834
8e03e773-5557-4e78-889b-4710c515378f,1,0.421152161,0.277897336,0,0.057795509,0,0.020114839,0,10,0.074749689,0.234547359,0.000853555,0.111001557
PD11353,0,0.807472997,0.275440421,0.774625048,0.976427868,0.439096563,0.039395359,3.512772506,8,0.245967271,0.30378647,0.017753328,0.239965928
PD13359,0,0.683880943,0.192431661,0.824479327,0.821345948,0.543042984,0.049784358,2.715214922,5,0.203947713,0.274254112,0.020405837,0.185273281
PD14446,1,0.84698512,0.315865459,0.804352719,0.989696908,0.513784591,0.008539547,7.192984269,14,0.317636297,0.314533907,0.004872282,0.209942634
PD14452,1,0.288451813,0.206162334,0,0.000865992,0,0.139288124,0,8,0.07080135,0.1203764,0.005384111,0.091889952
PD17996,0,0.801803604,0.403801658,0,0.96768014,0,0.034152223,0,9,0.244893571,0.292364764,0.022122594,0.242422674
PD18007,1,0.942573222,0.388171176,0.905860324,0.999900704,0.891573978,0.012032859,9.807313759,11,0.401995672,0.226789437,0.028802479,0.284985634
PD18010,0,0.70965378,0.285401208,0.596284241,0.25429397,0.231734312,0.056556782,2.780811744,12,0.186585651,0.25454927,0.002482908,0.266035951
PD18237,1,0.825337452,0.489908386,0.401271063,0.144286383,0.373527719,0.086171328,10.45877614,28,0.258638937,0.090331197,0.010307921,0.466059397
PD18760,0,0.358242949,0.166883223,0,0.168540752,0,0.083558869,0,8,0.073670675,0.168004665,0.002385733,0.114181876
PD20341,0,0.223428539,0.224403149,0,0.009721139,0,0.090019336,0,5,0.04703093,0.090542507,0.010246186,0.075608915
PD20343,0,0.159115378,0.25037292,0,2.56E-05,0,0.092268156,0,7,0.04051223,0.030341777,0.036183813,0.052077558
PD7317,0,0.778671294,0.252124372,0,0.328246545,0,0.047071455,0,6,0.26001935,0.143725226,0.147948001,0.226978718
PD9596,0,0.353965888,0.313953364,0,0.165002071,0,0.024958209,0,5,0.032103928,0,0.285450457,0.036411503
a85cf239-ff51-46e7-9b88-4c2cb49c66b9,1,0.996384577,0.439354673,0.984244993,0.999979649,0.700504329,0.000745291,13.30958226,19,0.473765538,0.260921325,0.005143295,0.256554419
c61ded54-f80e-4da8-b1d8-e22551c96118,0,0.185028698,0.384327498,0,0.001843797,0,0.097060933,0,14,0.03997007,0.073256462,0.00350392,0.068298245
d8c6d4b8-f279-4edc-aaa3-a1cc266aec4d,0,0.238555949,0.319985505,0,0.574666079,0,0.00015543,0,16,0.000429683,7.97E-06,0.237721072,0.000397225
d8fbb398-d1da-4444-984a-22c8523625da,1,0.997878505,0.448414067,0.999503879,0.999999451,0.427677867,0.000259353,11.11962453,26,0.63672624,0.043846004,0.103053526,0.214252734
df291849-4c35-44e1-b013-8f6b7ee36113,1,0.685104618,0.29499513,0.498466261,0.976751951,0.042168054,0.07159636,0.46384859,11,0.20560996,0.044681923,0.228827069,0.205985665
e7dc7492-3a84-49c7-8dea-8f508b53dc40,0,0.802429599,0.318544394,0.853659085,0.977973123,0.410124981,0.01222707,5.74174973,14,0.29246494,0.246082055,0.060635719,0.203246885
PD5936,0,0.188541143,0.139629098,0,2.05E-05,0,0.142136319,0,5,0.038745696,0.082169928,0.004365646,0.063259873
PD3989,0,0.702271316,0.258323916,0,0.50325117,0,0.059981916,0,11,0.25162273,0.085684151,0.148153617,0.216810817
PD6422,0,0.753552779,0.294015702,0.961810661,0.99707388,0.82628908,0.047974318,4.131445398,5,0.259151794,0.242347643,0.039803348,0.212249994
PD9599,0,0.361991713,0.165778401,0,0.135881288,0,0.129791295,0,5,0.097852659,0.134508285,0.008741105,0.120889664
PD4069,0,0.153150241,0.148273296,0,0.000209383,0,0.183151027,0,5,0.037589285,0.051999048,0.010524178,0.053037731
PD4613,0,0.232984495,0.234348833,0,9.82E-05,0,0.084740771,0,10,0.028678985,0.005421201,0.155267697,0.043616613
PD6044,0,0.516500227,0.294341629,0.542151202,0.046472452,0.348289562,0.136366727,3.831185182,11,0.162683395,0.11962058,0.043366141,0.190830111
PD9570,0,0.229797664,0.220178369,0,0.004756307,0,0.149885466,0,6,0.050555635,0.094779339,0.003322767,0.081139922
PD4267,0,0.431087214,0.317822846,0,0.442110732,0,0.022319651,0,8,0.034549287,0.00583596,0.356459943,0.034242023
PD4959,1,0.854757312,0.396149919,0.574683798,0.993479015,0.165788365,0.028165054,2.486825469,15,0.302616974,0.084630687,0.161940721,0.30556893
PD4072,0,8.77E-09,0.356253098,0.189824558,3.46E-25,0.075060909,2.99E-32,4.128349976,55,1.23E-27,0,8.77E-09,4.36E-29
PD7209,0,0.003563005,0.184076906,0,9.99E-20,0,0.489586655,0,15,0.000385737,0.000419995,9.66E-05,0.002660671
PD4967,0,0.256752594,0.261268094,0,3.90E-08,0,0.007107139,0,12,0.004799562,0.000256597,0.246589058,0.005107376
PD4953,1,0.661969697,0.272383969,0.670412056,0.970944969,0.833219632,0.037248757,4.166098158,5,0.199389829,0.138525309,0.163590335,0.160464224
PD4604,1,0.806476154,0.335716935,0,0.826459914,0,0.081185975,0,15,0.302625824,0.151699972,0.033019513,0.319130844
PD9000,1,0.286756121,0.279080595,0.509390636,0.006069186,0.005719137,0.243115532,0.091506199,16,0.068021938,0.092068227,0.002359121,0.124306835
PD7199,0,0.63266681,0.304640114,0.487975848,0.070335531,0.179784356,0.041142439,1.618059201,9,0.144421938,0.32383061,0.001796802,0.16261746
PD6719,1,0.768100607,0.325989839,0.646323744,0.998723774,0.242655643,0.033965501,2.669212077,11,0.297621974,0.157331414,0.062132555,0.251014663
PD4968,0,0.215296973,0.229952936,0,0.0002957,0,0.152855469,0,7,0.044173692,0.086939382,0.004818434,0.079365464
PD6418,0,0.334413621,0.194585054,0,0.004091706,0,0.188284241,0,7,0.084221131,0.10465582,0.013295189,0.132241481
PD9001,0,0.074846438,0.180046742,0,1.52E-07,0,0.12491946,0,9,0.013290088,0.029927823,0,0.031628527
